N,T (°C),HR (%),P(hpa),Viento (m/s),Vx,Vy,Nubosidad(%),Flujo (L/día)
112,11.24545455,56,1011.23125,0.409090909,-0.201959514,-0.231646596,5,0
145,10.77419355,82.41935484,1008.64375,0.85483871,-0.596105756,-0.091830836,100,0
158,10.5826087,61.17391304,1008.847917,0.72173913,-0.344021268,0.109931614,5,0
3,17.709375,54.60416667,1011.322917,1.083333333,-0.614967441,0.172621211,5,0
42,12.34526316,92.31578947,1013.636842,0.294736842,0.043742352,0.020358374,100,0
196,13.81458333,67.75,1010.1,1.30625,-0.88790629,0.292347383,5,0
126,10.10681818,80.84090909,1014.408333,0.736363636,-0.370689579,0.215801498,37,0
120,9.954347826,73.52173913,1014.264583,0.489130435,-0.263488221,-0.023867793,100,0.03
162,9.760416667,79.375,1007.383333,0.660416667,-0.457732168,-0.122187272,99,0
123,8.716129032,89.41935484,1015.914583,0.364516129,-0.052786971,0.154705662,54,0.01
88,11.49791667,84.5625,1015.8875,0.408333333,-0.185856495,0.046019116,100,0.1
94,10.34375,89.3125,1013.429167,0.6375,-0.172952021,0.081135352,55,0
7,15.11041667,69.52083333,1015.333333,1.292708333,-0.792216763,-0.191395483,100,0
154,10.82619048,82.71428571,1009.410417,1.128571429,-0.652418878,-0.276451005,15,0
32,14.10833333,68.28125,1018.716667,0.696875,-0.341216654,0.02049595,99,0
2,16.74375,59.86458333,1016.190625,1.048958333,-0.664064322,-0.180783401,5,0
156,10.35813953,87.8372093,1012.914583,1.181395349,-0.829696374,-0.139926902,87,0.02
188,13.27333333,81,1010.3625,1.444444444,-0.876375336,0.092549005,100,1.42
4,15.23020833,67.84375,1014.761458,1.032291667,-0.657920634,0.191184288,8,0
68,8.014634146,60.34146341,1015.3,0.548780488,-0.315316868,-0.044458884,5,0
178,16.49459459,71.32432432,1008.625,1.075675676,-0.684519283,-0.041718014,37,0.01
179,17.996875,65.53125,1006.014583,1.175,-0.860291832,0.143792509,6,0
