N,T (°C),HR (%),P(hpa),Viento (m/s),Vx,Vy,Nubosidad(%),Flujo (L/día)
12,17.47083333,49.15625,1011.84375,0.897916667,-0.585290697,0.086527198,6,0
6,18.61145833,50.41666667,1011.875,1.472916667,-0.610434067,-0.087347737,7,0
36,12.63333333,74.33333333,1014.152083,0.691666667,-0.195765553,0.061944768,99,0
148,9.995238095,78.97619048,1010.160417,0.519047619,-0.24255351,0.011856341,6,0
181,12.19393939,88.60606061,1006.695833,0.378787879,-0.190756811,0.160884494,100,0
187,12.64375,78.25,1006.608333,1.035416667,-0.529576636,0.410704582,100,0
204,17.7547619,64.64285714,1006.083333,1.1,-0.707650619,0.097737182,5,0.01
124,13.25945946,55.83783784,1017.589583,0.759459459,-0.337858913,0.008092122,5,0
212,10.52708333,78.25,1009.802083,1.266666667,-0.751812167,0.459126421,5,0.01
87,10.89555556,94.68888889,1010.487234,0.466666667,-0.216210419,-0.057581038,100,0.74
110,15.1375,44.52083333,1013.502083,0.510416667,-0.044667556,-0.089344691,5,0
114,9.178571429,84.64285714,1016.210417,0.257142857,0.03182506,-0.014559832,20,0.02
206,18.50833333,45.6875,1007.185417,1.145833333,-0.682989879,-0.195946046,100,0
93,10.05581395,85.30232558,1010.604167,0.490697674,-0.186355768,-0.052738434,19,0.33
152,13.05833333,73.79166667,1008.995833,0.7625,-0.525540285,-0.088012138,38,0
122,9.177142857,74.48571429,1011.635417,0.445714286,-0.182344076,0.198912618,100,0
149,10.12647059,79.85294118,1009.035417,0.961764706,-0.373135975,0.186441298,56,0
138,12.5375,68.85416667,1014.00625,0.754166667,-0.42032051,-0.1614798,9,0
164,10.13170732,68.97560976,1008.2375,1.290243902,-0.812552369,-0.063154345,17,0
180,16.02368421,72.5,1004.425,1.1,-0.669237352,0.103568356,100,0
207,15.7,52.68888889,1007.720833,1.197777778,-0.637252116,0.057019834,100,0
71,14.84583333,45.33333333,1011.791667,0.4,-0.078957281,0.008333333,6,0
50,10.58541667,61.125,1018.385417,0.491666667,-0.105568994,-0.129306138,7,0
